county_code,establishment_id,inspection_id,inspection_date,establishment_name,street_address,city,zip,state_id,establishment_type,score,grade,inspector_id
57,,,1/10/2026,STAR TACO,18 N. MAIN ST,MARSHALL,28753,1057010194,1 - Restaurant,98.0,A,2380
35,,,1/14/2026,JR'S WOODFIRED PIZZA,217 TAYLOR RD,LOUISBURG,27549,4035030053,3 - Mobile Food,100.0,A,2293
15,,,1/16/2026,BELCROSS BISCUIT COMPANY,269 E. HWY,158 CAMDEN,27921,6015010041,1 - Restaurant,98.5,A,3261
15,,,1/16/2026,HARDEES # 1656,100 TOWNE CENTER DRIVE,CAMDEN,27921,6015010033,1 - Restaurant,100.0,A,3261
57,,,1/19/2026,MARS HILL AMERICAN GRILL,844 CARL ELLER ROAD,MARS HILL,28754,1057010191,1 - Restaurant,97.5,A,2380
35,,,1/19/2026,TACOS EL GORDO,330 GLENLOFT DR,. YOUNGSVILLE,27596,4035030026,3 - Mobile Food,100.0,A,2293
35,,,1/19/2026,WAREHOUSE BBQ MFU,7807 HOGAN DR WAKE FOREST,,27596,4035030600,3 - Mobile Food,100.0,A,2293
35,,,1/2/2026,SUBWAY 1812,313 BICKETT BLVD,LOUISBURG,27549,4035010110,1 - Restaurant,97.0,A,3470
8,,,1/21/2026,SKS 2 LLC DBA RED APPLE MARKET,3338 US 13 N HWY,AHOSKIE,27910,6008020085,2 - Food Stands,97.0,A,2435
72,,,1/22/2026,FOOD LION 1218 DELI,321 OCEAN HWY S HERTFORD,,27944,6072020007,2 - Food Stands,98.5,A,3261
3,,,1/22/2026,FREEBORNE'S EATERY,14300 NC HIGHWAY,18 SOUTH LAUREL SPRINGS,28644,3003010197,1 - Restaurant,97.0,A,3502
3,,,1/22/2026,SOUTH SIDE CADDY SHACK,544 SOUTH MAIN STREET,SPARTA,28675,3003020228,2 - Food Stands,95.0,A,3502
21,,,1/26/2026,FOOD LION DELI,300 C VIRGINIA ROAD,EDENTON,27932,6021020052,2 - Food Stands,97.5,A,2801
21,,,1/26/2026,FOOD LION PRODUCE,300 VIRGINIA RD,. EDENTON,27932,6021020055,2 - Food Stands,99.5,A,3261
21,,,1/26/2026,HISSHO SUSHI,300 VIRGINIA RD,. EDENTON,27932,6021020057,2 - Food Stands,98.5,A,2801
22,,,1/27/2026,INGLES DELI #116,230 HWY,64 HAYESVILLE,28904,1022010074,1 - Restaurant,97.0,A,2158
22,,,1/28/2026,MCDONALD'S # 31974,37 HIGHWAY 64 EAST,HAYESVILLE,28904,1022010142,1 - Restaurant,98.0,A,1549
3,,,1/29/2026,BECCA'S BACKWOODS BEAN,21 NORTH MAIN STREET,SPARTA,28675,3003010177,1 - Restaurant,97.0,A,3502
48,,,1/29/2026,FAR CREEK GAS & GRILL,34260 US HWY 264 ENGELHARD,,27824,6048020018,2 - Food Stands,100.0,A,2394
61,,,1/29/2026,MI MORELIA,6187 US-19E SPRUCE PINE,,28777,1061010321,1 - Restaurant,95.0,A,3468
3,,,1/29/2026,QUALITY MART #69,2694 HIGHWAY,21 SOUTH SPARTA,28675,3003010211,1 - Restaurant,98.5,A,3502
72,,,1/29/2026,STORY'S SEAFOOD,131 N.COMMERCE DR. HERTFORD,,27944,6072010102,1 - Restaurant,98.0,A,3261
94,,,1/30/2026,CAROLS VARIETY SHOP  2,702 E MAIN ST PL,YMOUTH,27962,6094020015,2 - Food Stands,98.5,A,3065
22,,,1/30/2026,CHATUGE'S SOUTHERN CAFE,165 HWY 64 WEST SUITE 5,HAYESVILLE,28904,1022010146,1 - Restaurant,100.0,A,1549
72,,,11/26/2025,HARDEES,200 OCEAN HWY SOUTH HERTFORD,,27944,6072010078,1 - Restaurant,95.0,A,3261
89,,,12/11/2025,EASTERN 4 H CENTER,100 CLOVER WAY,COLUMBIA,27925,6089010021,1 - Restaurant,100.0,A,1446
27,,,2/10/2026,CINDYS KITCHEN,4517 CARATOKE HWY,BARCO,27917,6027010004,1 - Restaurant,97.5,A,3382
3,,,2/10/2026,CIRCLE L FAMILY RESTAURANT,3238 U.S. HIGHWAY,21 SOUTH GLADE VALLEY,28627,3003010220,1 - Restaurant,98.5,A,3502
22,,,2/10/2026,HINTON RURAL LIFE CENTER,2330 HINTON CENTER ROAD,HAYESVILLE,28904,1022010120,1 - Restaurant,100.0,A,1549
48,,,2/10/2026,OCRACOKE CONCESSION STAND,120 SCHOOL ROAD,OCRACOKE,27960,6048140021,14 - Limited Food,100.0,A,2394
27,,,2/10/2026,PASS THE SALT CAFE,138 COURTHOUSE ROAD,CURRITUCK,27929,6027010391,1 - Restaurant,100.0,A,3382
89,,,2/10/2026,TIENDA MEXICANA PENIEL #2,201-B MAIN ST,. COLUMBIA,27925,6089010053,1 - Restaurant,98.5,A,1446
62,,,2/11/2026,BOJANGLES/TROY,422 ALBEMARLE RD,. TROY,27371,5062010109,1 - Restaurant,97.5,A,2734
88,,,2/11/2026,CEDAR MOUNTAIN OUTPOST,8431 GREENVILLE HIGHWAY BREVARD,,28712,1088010454,1 - Restaurant,94.5,A,3164
37,,,2/11/2026,FAMILY FOODS,1479 NC 32 N CORAPEAKE,,27926,6037010058,1 - Restaurant,97.5,A,2435
89,,,2/11/2026,FOOD LION DELI 2110,625 US HWY,64 E COLUMBIA,27925,6089020006,2 - Food Stands,97.5,A,1446
89,,,2/11/2026,FOOD LION PRODUCE 2110,625 HWY,64 COLUMBIA,27925,6089020008,2 - Food Stands,99.0,A,1446
37,,,2/11/2026,GATES FOOD MART,1003 US HWY,158 W GATESVILLE,27938,6037020046,2 - Food Stands,95.0,A,2435
22,,,2/11/2026,HOKE POKE NOODLE BAR CREEKSIDE BBQ,964 HWY,69 SOUTH SUITE 6 & 9 HAYESVILLE,28904,1022010143,1 - Restaurant,98.5,A,2158
37,,,2/11/2026,HOLIDAY FOODS,003 NC HWY,32 N SUNBURY,27979,6037020040,2 - Food Stands,95.0,A,2435
88,,,2/11/2026,SKYTERRA YOUNG ADULT,40 WELLNESS WAY BREVARD,,28712,1088010493,1 - Restaurant,96.0,A,3164
