name,address
106 Main,106 E Main St
Aaktun Coffee + Bar,704 Ramseur St.
Afters Dessert Bar,905 W Main St.
Alimentari at Mothers & Sons,105 W Chapel Hill St
Alley Twenty Six,320 E Chapel Hill St.
Anjappar,201 E Main St. Suite 150
Annexe,105 S Mangum Suite 1
Arcana Bar,331 West Main St
Ashleigh Bakes Daily,307 W Main St. Suite 101
Atomic Clock Brewing Co.,501 Washington St.
Auctioneer Bar (Durham Food Hall),530 Foster St. Suite 1
Bar Virgile,105 S Mangum St.
Barbaro,708 Ramseur St.
Barsa,105 W Morgan St. Suite 100
Baryo Bar + Coffee,506 Ramseur St.
Boricua Soul,406 Blackwell St.
Boxcar Bar + Arcade,621 Foster St
Bull City Burger and Brewery,107 E. Parrish St Suite 105
Bull City Ciderworks,305 S Roxboro St
Bull McCabe's Irish Pub,427 W Main St.
Cheeni,202 Corcoran St. Suite 100
Clouds Brewcade + Kitchen,905 W Main St. Suite 22
Cocoa Cinnamon,420 W Geer St.
Conniption Bar & Lounge,715 Washington St.
Convivio,104 City Hall Plz. Suite 100
Corner Yaki (Durham Food Hall),530 Foster St. Suite 1 D
Counting House at 21c,111 N. Corcoran St
Coupe & Stein Champagne Bar,800 Taylor St. Suite 8-100
Crank Arm Brewing,620 Fernway Ave.
Cucciolo Osteria,601 W Main St Suite C
Cugino Forno,800 Taylor St.
Dashi,415 E. Chapel Hill St
Delancey Tavern,408 W Geer St.
Devine's Grill and Sports Bar,904 W. Main St
Dram & Draught,701 W Main St. Suite 123
DSSOLVR,630 Rigsbee Ave.
Durham Distillery,711 Washington St.
Durham Food Hall,530 Foster St. Suite 1
Durty Bull Brewing Company,206 Broadway St # 104
Emmy Squared Pizza,905 W Main St. Suite 25A
EO's Athletic Club,341 W Main St.
Eve,108 E Parrish St.
Everything Bagels (Durham Food Hall),530 Foster St
Ex-Voto Cocina Nixtamal (Durham Food Hall),530 Foster St
Fare & Fellow,411 W Chapel Hill St.
Fizzwerks,618 Ramseur St. Suite 103
Flavor Hills,107 W Main St.
Flying Bull Beer Company,300 Morris St.
Fonda Lupita,905 W Morgan St. Suite 21A
Foster Street Coffee,530 Foster St Suite 2
Fullsteam Brewery,320 Blackwell St.
Geer Street Garden,644 Foster St
Gojo,823 W Morgan St.
Goorsha,910 W Main St.
Gym Tacos,102 City Hall Plaza
Hi-Wire Brewing,800 Taylor St #9-150
High Dive,101 W Main St. Suite Lo2
Honeygirl Meadery,105 Hood St #6
Houston's Lounge,108 E Main St.
Hutchins Garage,402 W Geer St
Insomnia Cookies,1105 W Main St
It's a Southern Thing,605 W Main St
James Joyce Irish Pub,912 W Main St
Jeni's Splendid Ice Cream,908 W Main St.
Juicekeys,110 N Corcoran St.
Killer Queen Wine Bar,117B E Main St.
King's Sandwich Shop,701 Foster St.
Kingfisher,321 E. Chapel Hill St.
Koki,104 City Hall Plaza
Kotuku Surf Club,703 Rigsbee Ave
La Mala,110 Corcoran St.
Lady Gold Tacos at Remy's Lounge,347 W Main St.
Liberty & Plenty Distillery,609 Foster St. Suite B
Little Barb's Bakery (Durham Food Hall),530 Foster St. Suite 1
Little Pizza Box @ Ponysaurus,219 Hood St.
Littler Restaurant,110 E. Parrish St
Liturgy Beverage Company,530 Foster St
Loaf,111 W Parrish St.
Locals Oyster Bar & Seafood Butchery (Durham Food Hall),530 Foster St
LocoShop,600 Foster St. Suite A
LouElla Wine Beer & Beverage,316 W Geer St. Suite A
Luna Rotisserie & Empanadas,112 W Main St.
M Kokko,311 Holland St
M Pocha,101 E. Chapel Hill St.
M Sushi,311 Holland St.
M Tempura,111 Orange St
Mango Indian Grill (Durham Food Hall),530 Foster St. Suite 1
Mateo Bar de Tapas,107 W. Chapel Hill St
Maverick's Smokehouse and Taproom,900 W Main St
Mellow Mushroom,410 Blackwell St Suite 100
Ment Beverage Co.,312 Blackwell St. Suite 103
Mezcalito Grill and Tequila Bar,704 E Ramseur St.
Mi Barrio,105 W Morgan St. Suite 103
Miel Bon Bons,1011 W Main St.
MILKLAB (Durham Food Hall),530 Foster St. Suite 1
MilkShake Factory,359 Blackwell St.
Missy Lane's Assembly Room,310 E Main St. Suite 100
Moe's Southwest Grill,359 Blackwell St Suite 115
Mothers & Sons,107 W. Chapel Hill St.
Mr. Fries Man,1105 W Main St.
NanaSteak,345 Blackwell St
